,listing_id,image_file,prop_type,listing_price,beds,baths,sqft,address,city,state,zipcode
188,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m2344199557xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
189,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m2834151061xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
190,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1040665856xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
191,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m448916517xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
192,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1931183041xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
193,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1608328434xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
194,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m348053116xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
195,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m4104855449xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
196,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3759647643xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
197,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m527846182xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
198,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1699266525xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
199,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m2080694025xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
200,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m1620369033xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
201,Lakewood_CO_1_0,58697551f01700ecda061eb5774914a3l-m3931084096xd-w1020_h770_q80.jpg,House for Sale,"$389,000",3,2,"2,066",7465-W-Colorado-Dr,Lakewood,CO,80232
202,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m953905541xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
203,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2755615058xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
204,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m3609557661xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
205,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m1921001103xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
206,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m2428957928xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
207,Denver_CO_1_0,d40688eef95b3c6cdcef96693e722a05l-m4001599676xd-w1020_h770_q80.jpg,House for Sale,"$615,000",4,2,"1,682",900-Locust-St,Denver,CO,80220
